SASKAITOS_METAI;KREDITORIUS;KREDITORIAUS_NR;SUTARTIES_NR;SASKAITOS_DATA;SASKAITOS_NR;DK_DATA;TERMS_DATE;TREMINAS;VALIUTA;INVOICE_TYPE_LOOKUP_CODE;FIN_SALTINIS;PRIEMONE;SAMATA;EKON_KLAS;ASIGNAV_VALDYTOJAS;ASIGN_VALD_APRASAS;EILUTES_SUMA;APMOKETA_SUMA;SKOLOS_SUMA;SKOLOS_SUMA_ES;DEPARTAMENTAS;
"2010";"LR finansų ministerija";"288601650";"";"31-DEC-10";"Finmin/691/gavimas";"31-DEC-14";"31-DEC-10";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"0000000";"Nedetalizuojama";"775271.44";"0";"775271.44";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"06-JAN-11";"Finmin/677/gauta2011";"31-DEC-14";"06-JAN-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"0000000";"Nedetalizuojama";"2172.15";"0";"2172.15";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"24-JAN-11";"Finmin/691/ gavimas";"31-DEC-14";"24-JAN-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"0000000";"Nedetalizuojama";"24257.53";"0";"24257.53";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"24-JAN-11";"FinminVV/620/gavimas";"31-DEC-14";"24-JAN-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"0000000";"Nedetalizuojama";"288694.01";"0";"288694.01";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"16-MAR-11";"FinminVV620/2011/gavimas";"31-DEC-14";"16-MAR-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"0000000";"Nedetalizuojama";"19322.86";"0";"19322.86";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"16-MAR-11";"finminVV620/2011/gavimas";"31-DEC-14";"16-MAR-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"0000000";"Nedetalizuojama";"184046.47";"0";"184046.47";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"28-MAR-11";"Gavimas/677/2011";"31-DEC-14";"28-MAR-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"0000000";"Nedetalizuojama";"39488";"0";"39488";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"22-APR-11";"Gavim/620/2011/8/2011";"31-DEC-14";"22-APR-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"0000000";"Nedetalizuojama";"158478.54";"0";"158478.54";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"05-MAY-11";"Gavimas/691/2011/02";"31-DEC-14";"05-MAY-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.1.";"0000000";"Nedetalizuojama";"112666.06";"0";"112666.06";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"09-MAY-11";"gavimas/677/05/09";"31-DEC-14";"09-MAY-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"46264.59";"0";"46264.59";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"24-MAY-11";"Gavimas/620/2011/05";"31-DEC-14";"24-MAY-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"0000000";"Nedetalizuojama";"209062.15";"0";"209062.15";"";"Biudžeto skyrius EUR";
"2011";"Nordic Investment Bank";"NIB";"";"26-MAY-11";"GavimasL5248/2011/01";"31-DEC-14";"26-MAY-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.2.4.1.2.";"188708377";"Finansų departamentas";"1422661.63";"0";"1422661.63";"";"Biudžeto skyrius EUR";
"2011";"Centro poliklinika";"125873515";"A72-1143(3.1.36-SR)";"02-JUN-11";"Sutartis Nr. A72-1143(3.1.36-SR)";"31-DEC-14";"02-JUN-11";"Nedelsiant";"EUR";"STANDARD";"05";"03010501007";"6000900";"2.8.1.1.1.2.";"188712831";"Socialinių reikalų ir sveikatos departamentas";"86886.01";"0";"86886.01";"";"Administracija EUR";
"2011";"Centro poliklinika";"125873515";"A72-1143(3.1.36-SR)";"02-JUN-11";"Sutartis Nr. A72-1143(3.1.36-SR)";"31-DEC-14";"02-JUN-11";"Nedelsiant";"EUR";"STANDARD";"05";"03010501007";"6000900";"2.8.1.1.1.2.";"188712831";"Socialinių reikalų ir sveikatos departamentas";"86886.01";"0";"86886.01";"";"Administracija EUR";
"2011";"Centro poliklinika";"125873515";"A72-1143(3.1.36-SR)";"02-JUN-11";"Sutartis Nr. A72-1143(3.1.36-SR)";"31-DEC-14";"02-JUN-11";"Nedelsiant";"EUR";"STANDARD";"05";"03010501007";"6000900";"2.8.1.1.1.2.";"188712831";"Socialinių reikalų ir sveikatos departamentas";"-86886.01";"0";"-86886.01";"";"Administracija EUR";
"2011";"LR finansų ministerija";"288601650";"";"09-JUN-11";"Gavim/677/2011/04";"31-DEC-14";"09-JUN-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"18385.31";"0";"18385.31";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"16-JUN-11";"gavimas/620/2011/6";"31-DEC-14";"16-JUN-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"43057.84";"0";"43057.84";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"07-JUL-11";"Gavimas/677/0707";"31-DEC-14";"07-JUL-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"9697.02";"0";"9697.02";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"21-JUL-11";"Gavimas/620/2011/07/21";"31-DEC-14";"21-JUL-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"66416.52";"0";"66416.52";"";"Biudžeto skyrius EUR";
"2011";"Vilniaus vystymo kompanija, UAB (Vilniaus kapitalinė statyba)";"120750163";"";"04-AUG-11";"10-F-(129.1) PF";"31-DEC-14";"04-AUG-11";"30 dienų";"EUR";"STANDARD";"05";"06030108003";"3000279";"3.1.1.2.1.3.";"188751791";"Miesto ūkio ir transporto departamentas";"86886.01";"0";"86886.01";"";"Administracija EUR";
"2011";"LR finansų ministerija";"288601650";"";"09-AUG-11";"Gavimas/677/2011/08/09";"31-DEC-14";"09-AUG-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"0000000";"Nedetalizuojama";"230";"0";"230";"";"Biudžeto skyrius EUR";
"2011";"Nordic Investment Bank";"NIB";"";"09-AUG-11";"L5248/gauta/11/08/09";"31-DEC-14";"09-AUG-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.2.4.1.2.";"0000000";"Nedetalizuojama";"4975131.71";"722605.87";"4252525.84";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"13-SEP-11";"Gavimas/620/";"31-DEC-14";"13-SEP-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"56029.23";"0";"56029.23";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"15-SEP-11";"Gavimas/677/2011/07";"31-DEC-14";"15-SEP-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"501.45";"0";"501.45";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"26-SEP-11";"Gavimas/677/09/26";"31-DEC-14";"26-SEP-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"611.21";"0";"611.21";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"10-OCT-11";"Gavimas/677/2011/09";"31-DEC-14";"10-OCT-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"3432";"0";"3432";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"03-NOV-11";"Gavimas/620/ 2011/11";"31-DEC-14";"03-NOV-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.1.";"0000000";"Nedetalizuojama";"5339.89";"0";"5339.89";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"07-NOV-11";"Gavimas/677/2011/11";"31-DEC-14";"07-NOV-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"939.61";"0";"939.61";"";"Biudžeto skyrius EUR";
"2011";"Nordic Investment Bank";"NIB";"";"30-NOV-11";"L5248/gavimas/5290";"31-DEC-14";"30-NOV-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.2.4.1.2.";"188708377";"Finansų departamentas";"3082367.94";"0";"3082367.94";"";"Biudžeto skyrius EUR";
"2011";"Nordic Investment Bank";"NIB";"";"05-DEC-11";"L5355/gavimas/1";"31-DEC-14";"05-DEC-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.2.4.1.2.";"188708377";"Finansų departamentas";"2238495.51";"260667.41";"1977828.1";"";"Biudžeto skyrius EUR";
"2011";"LR finansų ministerija";"288601650";"";"13-DEC-11";"gavimas/620/2011/12";"31-DEC-14";"13-DEC-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"58574.43";"0";"58574.43";"";"Biudžeto skyrius EUR";
"2011";"260-oji DNSB Planeta";"124798942";"";"16-DEC-11";"PL Nr. 1112/001//";"01-NOV-15";"16-DEC-11";"90 dienų";"EUR";"STANDARD";"61";"05010304001";"2000400";"2.8.1.1.1.2.";"188751791";"Miesto ūkio ir transporto departamentas";"1566.93";"0";"1566.93";"";"Administracija EUR";
"2011";"Žirmūnų g. 97 Savininkų bendrija";"301018552";"";"20-DEC-11";"DNSB Nr. 04/";"01-NOV-15";"20-DEC-11";"90 dienų";"EUR";"STANDARD";"61";"05010304001";"2000400";"2.8.1.1.1.2.";"188751791";"Miesto ūkio ir transporto departamentas";"54329.2";"0";"54329.2";"";"Administracija EUR";
"2011";"DNSB M.K.Oginskio g. 19";"300037756";"";"23-DEC-11";"DN 0003/";"01-NOV-15";"23-DEC-11";"90 dienų";"EUR";"STANDARD";"61";"05010304001";"2000400";"2.8.1.1.1.2.";"188751791";"Miesto ūkio ir transporto departamentas";"38754.51";"0";"38754.51";"";"Administracija EUR";
"2011";"DNSB Žirmūnai-81";"300882654";"";"28-DEC-11";"DNSB Nr. 19//";"01-NOV-15";"28-DEC-11";"90 dienų";"EUR";"STANDARD";"61";"05010304001";"2000400";"2.8.1.1.1.2.";"188751791";"Miesto ūkio ir transporto departamentas";"37778.5";"0";"37778.5";"";"Administracija EUR";
"2011";"667-oji DNSB";"124982853";"";"28-DEC-11";"POE Nr.01/";"01-NOV-15";"28-DEC-11";"90 dienų";"EUR";"STANDARD";"61";"05010304001";"2000400";"2.8.1.1.1.2.";"188751791";"Miesto ūkio ir transporto departamentas";"1148.15";"0";"1148.15";"";"Administracija EUR";
"2011";"LR finansų ministerija";"288601650";"";"30-DEC-11";"gavimas/677/11/11";"31-DEC-14";"30-DEC-11";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"2000170";"3.3.1.4.1.2.";"188708377";"Finansų departamentas";"2521.31";"0";"2521.31";"";"Biudžeto skyrius EUR";
"2012";"487-oji DNSB";"124772997";"";"09-JAN-12";"DNSB Nr. 4870075//";"01-NOV-15";"09-JAN-12";"90 dienų";"EUR";"STANDARD";"61";"05010304001";"2000400";"2.8.1.1.1.2.";"188751791";"Miesto ūkio ir transporto departamentas";"19839.78";"0";"19839.78";"";"Administracija EUR";
"2012";"115-oji DNSB";"124789217";"";"09-JAN-12";"IIS Nr. 34//";"01-NOV-15";"09-JAN-12";"90 dienų";"EUR";"STANDARD";"61";"05010304001";"2000400";"2.8.1.1.1.2.";"188751791";"Miesto ūkio ir transporto departamentas";"19066.46";"0";"19066.46";"";"Administracija EUR";
"2012";"LR finansų ministerija";"288601650";"";"12-JAN-12";"gavim/677/2011-01";"31-DEC-14";"12-JAN-12";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"1300170";"3.3.1.4.1.2.";"188710061";"Vilniaus miesto savivaldybės administracija";"3432";"0";"3432";"";"Biudžeto skyrius EUR";
"2012";"Vilniaus vystymo kompanija, UAB (Vilniaus kapitalinė statyba)";"120750163";"188-Ū";"25-JAN-12";"KSM1112";"31-DEC-14";"25-JAN-12";"90 dienų";"EUR";"STANDARD";"2M19";"03010501031";"6001071";"2.8.1.1.1.2.";"188712831";"Socialinių reikalų ir sveikatos departamentas";"1070.57";"0";"1070.57";"";"Administracija EUR";
"2012";"794-oji DNSB";"125618411";"";"26-JAN-12";"SM Nr. 0070//";"01-NOV-15";"26-JAN-12";"90 dienų";"EUR";"STANDARD";"61";"05010304001";"2000400";"2.8.1.1.1.2.";"188751791";"Miesto ūkio ir transporto departamentas";"34277.48";"0";"34277.48";"";"Administracija EUR";
"2012";"794-oji DNSB";"125618411";"";"26-JAN-12";"SM Nr. 0072//";"01-NOV-15";"26-JAN-12";"90 dienų";"EUR";"STANDARD";"61";"05010304001";"2000400";"2.8.1.1.1.2.";"188751791";"Miesto ūkio ir transporto departamentas";"29957.25";"0";"29957.25";"";"Administracija EUR";
"2012";"Vilniaus vystymo kompanija, UAB (Vilniaus kapitalinė statyba)";"120750163";"188-Ū";"29-FEB-12";"KSM1126";"31-DEC-14";"29-FEB-12";"90 dienų";"EUR";"STANDARD";"2M19";"03010501031";"6001071";"2.8.1.1.1.2.";"188712831";"Socialinių reikalų ir sveikatos departamentas";"725.14";"0";"725.14";"";"Administracija EUR";
"2012";"Vilniaus miesto savivaldybės administracija";"188710061";"";"29-FEB-12";"ŽN/201202korekcija";"31-DEC-14";"29-FEB-12";"Nedelsiant";"EUR";"STANDARD";"01";"0000000000";"0000000";"1.4.5.1.3.1.";"188710061";"Vilniaus miesto savivaldybės administracija";"1508.32";"0";"1508.32";"";"Administracija EUR";
"2012";"214-oji DNSB Žvaigždė";"124783716";"";"05-MAR-12";"VJS Nr. 2012.03.05//";"01-NOV-15";"05-MAR-12";"90 dienų";"EUR";"STANDARD";"61";"05010304001";"2000400";"2.8.1.1.1.2.";"188751791";"Miesto ūkio ir transporto departamentas";"36197.22";"0";"36197.22";"";"Administracija EUR";
"2012";"LR finansų ministerija";"288601650";"";"06-MAR-12";"gavimas/620/2012";"31-DEC-14";"06-MAR-12";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"1300170";"3.3.1.4.1.2.";"188710061";"Vilniaus miesto savivaldybės administracija";"11977.18";"0";"11977.18";"";"Biudžeto skyrius EUR";
"2012";"LR finansų ministerija";"288601650";"";"08-MAR-12";"gavimas/677/03/12";"31-DEC-14";"08-MAR-12";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"1300170";"3.3.1.4.1.2.";"188710061";"Vilniaus miesto savivaldybės administracija";"4075.71";"0";"4075.71";"";"Biudžeto skyrius EUR";
"2012";"Vilniaus vystymo kompanija, UAB (Vilniaus kapitalinė statyba)";"120750163";"188-Ū";"30-MAR-12";"KSM1141";"31-DEC-14";"30-MAR-12";"90 dienų";"EUR";"STANDARD";"01";"10020217003";"8000400";"3.1.1.2.1.3.";"60000";"Ekonomikos ir investicijų departamentas";"263.09";"0";"263.09";"";"Administracija EUR";
"2012";"Vilniaus vystymo kompanija, UAB (Vilniaus kapitalinė statyba)";"120750163";"188-Ū";"30-MAR-12";"KSM1144";"31-DEC-14";"30-MAR-12";"90 dienų";"EUR";"STANDARD";"2M19";"03010501031";"6001071";"2.8.1.1.1.2.";"188712831";"Socialinių reikalų ir sveikatos departamentas";"1551.97";"0";"1551.97";"";"Administracija EUR";
"2012";"LR finansų ministerija";"288601650";"";"12-APR-12";"gavimas/677/12/04";"31-DEC-14";"12-APR-12";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"1300180";"3.3.1.4.1.2.";"188710061";"Vilniaus miesto savivaldybės administracija";"12011.99";"0";"12011.99";"";"Biudžeto skyrius EUR";
"2012";"Vilniaus vystymo kompanija, UAB (Vilniaus kapitalinė statyba)";"120750163";"188-Ū";"25-APR-12";"KSM1156";"31-DEC-14";"25-APR-12";"90 dienų";"EUR";"STANDARD";"2M19";"03010501031";"6001071";"2.8.1.1.1.2.";"188712831";"Socialinių reikalų ir sveikatos departamentas";"1040.73";"0";"1040.73";"";"Administracija EUR";
"2012";"LR finansų ministerija";"288601650";"";"26-APR-12";"gavimas/677/2012/04";"31-DEC-14";"26-APR-12";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"1300170";"3.3.1.4.1.2.";"188710061";"Vilniaus miesto savivaldybės administracija";"682.39";"0";"682.39";"";"Biudžeto skyrius EUR";
"2012";"Vilniaus vystymo kompanija, UAB (Vilniaus kapitalinė statyba)";"120750163";"188-Ū";"30-APR-12";"KSM1161";"31-DEC-14";"30-APR-12";"90 dienų";"EUR";"STANDARD";"01";"10020217003";"8000400";"3.1.1.2.1.3.";"60000";"Ekonomikos ir investicijų departamentas";"4620.19";"0";"4620.19";"";"Administracija EUR";
"2012";"Vilniaus vystymo kompanija, UAB (Vilniaus kapitalinė statyba)";"120750163";"188-Ū";"30-APR-12";"KSM1162";"31-DEC-14";"30-APR-12";"90 dienų";"EUR";"STANDARD";"01";"10020217003";"8000400";"3.1.1.2.1.3.";"60000";"Ekonomikos ir investicijų departamentas";"1965.05";"0";"1965.05";"";"Administracija EUR";
"2012";"Vilniaus miesto būstas SĮ";"124568293";"";"07-MAY-12";"A121-10498(2.1.19-MB)";"31-DEC-14";"07-MAY-12";"Nedelsiant";"EUR";"STANDARD";"01";"05010211";"6000721";"2.8.1.1.1.2.";"188712831";"Socialinių reikalų ir sveikatos departamentas";"2546.23";"0";"2546.23";"";"Administracija EUR";
"2012";"Vilniaus miesto būstas SĮ";"124568293";"";"14-MAY-12";"A121-11057(2.1.19-SR)";"31-DEC-14";"14-MAY-12";"Nedelsiant";"EUR";"STANDARD";"01";"05010211";"6000721";"2.8.1.1.1.2.";"188712831";"Socialinių reikalų ir sveikatos departamentas";"61225.6";"0";"61225.6";"";"Administracija EUR";
"2012";"LR finansų ministerija";"288601650";"";"14-MAY-12";"gavimas/2012/02";"31-DEC-14";"14-MAY-12";"Nedelsiant";"EUR";"STANDARD";"01";"16050101";"1300170";"3.3.1.4.1.2.";"188710061";"Vilniaus miesto savivaldybės administracija";"27420.3";"0";"27420.3";"";"Biudžeto skyrius EUR";
